timestamp,ue_rate,pdu_active,throughput_mbps,cpu_percent,memory_percent
2026-01-01 00:00:00,0.518,8.1,62.96,39.47,48.18
2026-01-01 00:00:30,0.768,8.3,61.89,36.87,49.19
2026-01-01 00:01:00,0.651,6.8,51.27,34.72,47.99
2026-01-01 00:01:30,0.631,8.7,71.91,39.5,49.07
2026-01-01 00:02:00,0.694,8.8,67.02,38.71,50.38
2026-01-01 00:02:30,0.605,7.1,60.22,39.39,48.63
2026-01-01 00:03:00,0.615,8.3,68.32,33.8,51.39
2026-01-01 00:03:30,0.602,8.3,63.56,37.63,46.3
2026-01-01 00:04:00,0.622,9.0,72.14,42.41,49.16
2026-01-01 00:04:30,0.722,8.8,69.09,40.74,52.65
2026-01-01 00:05:00,0.631,9.3,75.76,41.61,51.9
2026-01-01 00:05:30,0.755,9.3,73.47,41.96,50.19
2026-01-01 00:06:00,0.644,9.6,78.55,40.06,52.26
2026-01-01 00:06:30,0.467,8.8,70.95,39.88,49.65
2026-01-01 00:07:00,0.708,7.4,55.73,32.64,48.87
2026-01-01 00:07:30,0.533,8.3,67.42,39.66,50.73
2026-01-01 00:08:00,0.58,8.9,72.06,39.15,50.87
2026-01-01 00:08:30,0.327,8.1,65.54,32.62,51.23
2026-01-01 00:09:00,0.605,9.6,79.88,44.51,52.95
2026-01-01 00:09:30,0.727,9.2,72.08,44.18,49.66
2026-01-01 00:10:00,0.596,7.8,70.32,40.05,50.89
2026-01-01 00:10:30,0.503,9.3,67.38,36.88,50.6
2026-01-01 00:11:00,0.608,8.2,61.92,35.58,47.66
2026-01-01 00:11:30,0.427,9.6,81.29,40.29,52.38
2026-01-01 00:12:00,0.538,7.6,57.02,36.95,52.62
2026-01-01 00:12:30,0.524,9.0,61.26,34.02,52.04
2026-01-01 00:13:00,0.421,8.4,65.71,34.58,49.27
2026-01-01 00:13:30,0.497,8.1,56.78,38.79,46.27
2026-01-01 00:14:00,0.531,10.1,78.12,34.42,52.93
2026-01-01 00:14:30,0.646,8.1,63.89,38.58,52.08
2026-01-01 00:15:00,0.78,8.6,69.05,39.3,50.31
2026-01-01 00:15:30,0.467,6.7,49.06,35.9,49.27
2026-01-01 00:16:00,0.419,8.8,74.02,41.9,49.73
2026-01-01 00:16:30,0.817,9.7,74.57,39.94,51.42
2026-01-01 00:17:00,0.641,8.4,65.01,44.31,49.6
2026-01-01 00:17:30,0.939,8.2,70.15,41.78,51.51
2026-01-01 00:18:00,0.388,5.8,58.33,32.9,46.27
2026-01-01 00:18:30,0.837,7.3,58.69,36.08,49.87
2026-01-01 00:19:00,0.568,8.3,70.68,32.31,48.81
2026-01-01 00:19:30,0.423,8.9,79.66,39.71,53.12
2026-01-01 00:20:00,0.313,7.9,60.34,32.57,49.86
2026-01-01 00:20:30,0.47,9.3,73.21,34.79,51.23
2026-01-01 00:21:00,0.615,7.5,66.59,39.11,52.9
2026-01-01 00:21:30,0.582,8.9,62.38,36.05,51.03
2026-01-01 00:22:00,0.348,9.9,80.83,37.51,51.53
2026-01-01 00:22:30,0.59,9.8,86.14,37.18,53.35
2026-01-01 00:23:00,0.58,8.8,59.04,36.62,49.63
2026-01-01 00:23:30,0.477,7.9,61.46,36.41,51.26
2026-01-01 00:24:00,0.556,10.0,80.28,41.97,52.58
2026-01-01 00:24:30,0.575,8.9,63.98,36.17,51.72
2026-01-01 00:25:00,0.761,8.1,66.9,34.25,47.65
2026-01-01 00:25:30,0.635,10.1,78.86,38.77,50.74
2026-01-01 00:26:00,0.196,8.2,56.91,33.76,49.03
2026-01-01 00:26:30,0.556,9.2,74.89,43.81,48.19
2026-01-01 00:27:00,0.447,6.6,47.21,31.17,49.12
2026-01-01 00:27:30,0.701,9.3,62.2,41.27,53.17
2026-01-01 00:28:00,0.501,8.8,67.16,34.01,50.34
2026-01-01 00:28:30,0.444,10.3,84.32,36.89,53.58
2026-01-01 00:29:00,0.467,7.5,60.28,35.28,48.0
2026-01-01 00:29:30,0.576,9.0,79.38,40.7,50.42
2026-01-01 00:30:00,0.735,5.6,42.53,37.28,48.24
2026-01-01 00:30:30,0.755,7.8,68.92,43.32,49.6
2026-01-01 00:31:00,0.446,10.4,88.49,38.03,51.44
2026-01-01 00:31:30,0.618,9.1,70.14,42.84,53.59
2026-01-01 00:32:00,0.609,7.8,54.59,39.77,49.87
2026-01-01 00:32:30,0.657,8.9,72.14,43.61,53.73
2026-01-01 00:33:00,0.569,11.9,104.02,44.86,54.86
2026-01-01 00:33:30,0.492,8.9,71.57,36.09,52.8
2026-01-01 00:34:00,0.718,10.2,83.08,42.62,52.09
2026-01-01 00:34:30,0.576,8.6,66.02,38.9,51.49
2026-01-01 00:35:00,0.643,8.2,57.46,36.69,50.13
2026-01-01 00:35:30,0.392,8.9,66.64,37.25,50.81
2026-01-01 00:36:00,1.038,9.1,72.61,45.45,51.19
